Iteration;Dist_previous;Curv_abscissa;Cart_abscissa;Cart_ordinate;Elevation;Curvature;Vel_perturb;Velocity;Mean_depth;True_elevation
1785;30.2337179321925;5051.63914259578;724838.98;6817693.08;0;0;0;0;1;0
1785;25.9300000000512;5077.56914259583;724864.91;6817693.08;0;0;0;0;1;0
1785;39.3342725876883;5116.90341518352;724903.54;6817685.67;0;0;0;0;1;0
1785;43.5474695017126;5160.45088468523;724946.93;6817681.97;0;0;0;0;1;0
1785;50.3397993637957;5210.79068404902;724997.2;6817679.32;0;0;0;0;1;0
1785;22.0148608899251;5232.80554493895;725018.9;6817683.03;0;0;0;0;1;0
1785;47.2632838468949;5280.06882878584;725062.82;6817700.49;0;0;0;0;1;0
1785;49.0952726849731;5329.16410147082;725105.15;6817725.36;0;0;0;0;1;0
1785;28.0589682628344;5357.22306973365;725127.91;6817741.77;0;0;0;0;1;0
1785;46.0563567818923;5403.27942651554;725159.13;6817775.63;0;0;0;0;1;0
1785;90.0671060931461;5493.34653260869;725212.57;6817848.13;0;0;0;0;1;0
1785;92.9480973449511;5586.29462995364;725274.49;6817917.45;0;0;0;0;1;0
1785;53.059774782914;5639.35440473656;725313.78;6817953.11;0;0;0;0;1;0
1785;81.9001251522504;5721.25452988881;725379.79;6818001.59;0;0;0;0;1;0
1785;52.7842722787806;5774.03880216759;725427.42;6818024.34;0;0;0;0;1;0
1785;48.1971472184083;5822.235949386;725473.45;6818038.63;0;0;0;0;1;0
1785;40.8051087487887;5863.04105813478;725514.2;6818040.75;0;0;0;0;1;0
1785;24.3918777465698;5887.43293588135;725538.54;6818039.16;0;0;0;0;1;0
1785;27.7269291485118;5915.15986502987;725565.53;6818032.81;0;0;0;0;1;0
1785;45.2311618245231;5960.39102685439;725610.51;6818028.05;0;0;0;0;1;0
1785;89.079630106893;6049.47065696128;725697.29;6818007.94;0;0;0;0;1;0
1785;73.7034307206058;6123.17408768189;725766.08;6817981.48;0;0;0;0;1;0
1785;67.2365674317373;6190.41065511362;725826.94;6817952.9;0;0;0;0;1;0
1785;51.430428736563;6241.84108385019;725868.21;6817922.21;0;0;0;0;1;0
1785;35.9210244845565;6277.76210833474;725893.61;6817896.81;0;0;0;0;1;0
1785;57.0917375807373;6334.85384591548;725925.89;6817849.72;0;0;0;0;1;0
1785;43.5129406032837;6378.36678651877;725939.65;6817808.44;0;0;0;0;1;0
1785;24.5109873327094;6402.87777385147;725945.47;6817784.63;0;0;0;0;1;0
1785;41.8234348178818;6444.70120866936;725944.41;6817742.82;0;0;0;0;1;0
1785;30.9638014460952;6475.66501011545;725935.42;6817713.19;0;0;0;0;1;0
1785;42.3360000473445;6518.0010101628;725910.02;6817679.32;0;0;0;0;1;0
1785;63.0224547287744;6581.02346489157;725862.39;6817638.05;0;0;0;0;1;0
1785;46.4064004207896;6627.42986531236;725829.05;6817605.77;0;0;0;0;1;0
1785;60.7086525955607;6688.13851790792;725776.67;6817575.08;0;0;0;0;1;0
1785;25.4635504202204;6713.60206832814;725752.85;6817566.08;0;0;0;0;1;0
1785;79.901896097615;6793.50396442576;725674.54;6817550.21;0;0;0;0;1;0
1785;74.3146775542771;6867.81864198003;725602.57;6817531.69;0;0;0;0;1;0
1785;70.298290164259;6938.11693214429;725535.37;6817511.05;0;0;0;0;1;0
1785;44.4221397504352;6982.53907189473;725494.09;6817494.64;0;0;0;0;1;0
