Iteration;Curv_abscissa;Cart_abscissa;Cart_ordinate;Elevation;Curvature;Vel_perturb;Velocity;Max_height;Width;Max_depth
10;53584.3;40399.9;97400.3;0;-0.000317513;0.0531601;0.904792;132.26;1200;50
10;54032;40802;97597.2;0;-8.50326e-006;-0.55028;0.904792;132.26;1200;50
10;54598;41200.8;97998.8;0;0.000358486;-0.234431;0.904792;132.26;1200;50
10;55046.2;41600;98202.6;0;0.000321106;0.410893;0.904792;132.26;1200;50
10;55493.6;42001.1;98004.5;0;-0.000101505;0.727909;0.904792;132.26;1200;50
10;55891.8;42399.3;98001.7;0;-0.000436891;0.305734;0.904792;132.26;1200;50
10;56455.8;42803.6;98395;0;0.000122166;-0.975563;0.904792;132.26;1200;50
10;56902.1;43200.8;98598.5;0;0.000477555;-0.278255;0.904792;132.26;1200;50
10;57350.9;43600.4;98802.8;0;0.000650032;0.43609;0.904792;132.26;1200;50
10;57915.1;44003.2;98407.7;0;0.000152735;1.30845;0.904792;132.26;1200;50
10;58312;44400;98405.1;0;-0.00026155;0.820881;0.904792;132.26;1200;50
10;58711.9;44799.9;98399.8;0;-0.000264076;-0.0256847;0.904792;132.26;1200;50
10;59160.8;45200.5;98197;0;-1.23347e-005;-0.472447;0.904792;132.26;1200;50
10;59727.1;45600.3;98597.9;0;0.000547239;-0.341769;0.904792;132.26;1200;50
10;60173.8;46002.6;98403.6;0;0.00036772;0.694561;0.904792;132.26;1200;50
10;60739.4;46402.9;98004.1;0;1.16473e-005;0.799704;0.904792;132.26;1200;50
10;61185;46800.8;97803.4;0;-0.000642283;0.56451;0.904792;132.26;1200;50
10;61584.2;47200;97796.7;0;-0.000670168;-0.515761;0.904792;132.26;1200;50
10;61986.7;47602.4;97794.1;0;-0.000493133;-1.00972;0.904792;132.26;1200;50
10;62553.8;48004;98194.5;0;-1.14094e-005;-1.07739;0.904792;132.26;1200;50
10;62999.4;48400.6;98397.6;0;0.000230402;-0.408303;0.904792;132.26;1200;50
10;63398.6;48799.8;98400.8;0;0.000236098;0.120979;0.904792;132.26;1200;50
10;63846.2;49199.4;98602.3;0;0.000130952;0.38005;0.904792;132.26;1200;50
10;64246.7;49600;98601.2;0;0.000269304;0.192523;0.904792;132.26;1200;50
10;64646.4;49999.6;98601.5;0;0.000480863;0.246419;0.904792;132.26;1200;50
10;65095.4;50400.6;98803.7;0;0.000599826;0.594569;0.904792;132.26;1200;50
10;65663.3;50804.8;98404.9;0;0.000383234;1.08653;0.904792;132.26;1200;50
10;66228.1;51203.6;98005;0;-0.000222332;0.976053;0.904792;132.26;1200;50
10;66674.5;51600.7;97801;0;-0.000684904;0.211814;0.904792;132.26;1200;50
10;67245;52000;97393.4;0;-0.000758069;-1.04014;0.904792;132.26;1200;50
10;67815.4;52406.4;97793.6;0;-0.000400745;-1.42993;0.904792;132.26;1200;50
10;68377.6;52801;98194;0;0.000116854;-0.973512;0.904792;132.26;1200;50
10;68821.5;53200;97999.5;0;0.000111403;-0.0931248;0.904792;132.26;1200;50
10;69268.9;53599.7;98200.6;0;0.00013113;0.10547;0.904792;132.26;1200;50
10;69716.5;53999.6;98401.6;0;6.90891e-006;0.256024;0.904792;132.26;1200;50
10;70116.8;54400;98400.1;0;0.000124335;0.0260536;0.904792;132.26;1200;50
10;70516.4;54799.6;98401.7;0;-0.000121585;0.280057;0.904792;132.26;1200;50
10;70963;55200.2;98599.1;0;3.16464e-006;-0.150865;0.904792;132.26;1200;50
10;71362.1;55599.2;98603.2;0;-0.00102582;0.513399;0.904792;132.26;1200;50
10;72253.1;56001;98795.9;0;-0.00195223;-0.642706;0.904792;132.26;1200;50
100;0;-6001.18;94430.6;2;0.00171755;-0.323588;0.906624;131.993;1200;50
100;548.251;-5464.57;94543;2;0.00103367;2.97932;0.906624;131.993;1200;50
100;1031.27;-5008.11;94385;2;0.000246424;2.35512;0.906624;131.993;1200;50
100;1484.63;-4606.4;94174.9;2;-0.000436872;1.22354;0.906624;131.993;1200;50
100;1900.94;-4190.53;94155.7;2;-0.0005802;-0.0723032;0.906624;131.993;1200;50
100;2371.17;-3759.15;94342.8;2;-0.000339849;-0.907041;0.906624;131.993;1200;50
100;2929.12;-3374.53;94747;2;0.000417253;-0.987951;0.906624;131.993;1200;50
100;3309.4;-3000.79;94817.2;2;0.000305657;0.154514;0.906624;131.993;1200;50
100;3717.84;-2592.6;94831.7;2;9.21606e-005;0.511949;0.906624;131.993;1200;50
100;4156.8;-2203.34;94628.8;2;-0.000434992;0.529614;0.906624;131.993;1200;50
100;4700.21;-1764.81;94949.7;2;1.42134e-005;-0.864051;0.906624;131.993;1200;50
100;5135.96;-1393.5;95177.8;2;0.00042824;-0.431884;0.906624;131.993;1200;50
100;5535.2;-996.401;95219;2;0.000633102;0.227204;0.906624;131.993;1200;50
100;5988.71;-572.984;95056.6;2;0.000448684;0.954043;0.906624;131.993;1200;50
100;6441.68;-171.274;94847.3;2;0.000197156;0.923657;0.906624;131.993;1200;50
100;7165.82;406.619;94410.9;2;4.39282e-005;0.268536;0.906624;131.993;1200;50
100;7612.05;802.957;94205.9;2;3.78941e-005;0.122831;0.906624;131.993;1200;50
100;8060.43;1204.35;94006.1;2;-3.36045e-005;0.115534;0.906624;131.993;1200;50
100;8625.91;1606.06;93608.1;2;-0.000407325;0.154696;0.906624;131.993;1200;50
100;9078.85;1992.18;93371.3;2;-0.000480025;-0.440015;0.906624;131.993;1200;50
100;9499.04;2411.76;93348.6;2;-0.000192086;-0.845513;0.906624;131.993;1200;50
100;9940.16;2802.12;93554;2;0.000450805;-0.797731;0.906624;131.993;1200;50
100;10373.3;3215.06;93423.2;2;0.000418867;0.352335;0.906624;131.993;1200;50
100;10946.5;3643.03;93042;2;-0.000124435;0.974896;0.906624;131.993;1200;50
100;11512.7;4000.9;92603.2;2;-0.000763298;0.187282;0.906624;131.993;1200;50
100;11959.6;4425.26;92743.4;2;-0.000753531;-0.912872;0.906624;131.993;1200;50
100;12422.7;4847.46;92933.6;2;-0.000543739;-1.28262;0.906624;131.993;1200;50
100;12993;5243.19;93344.3;2;4.75932e-006;-1.20324;0.906624;131.993;1200;50
100;13430.3;5609.09;93583.7;2;0.000178761;-0.397576;0.906624;131.993;1200;50
100;13877.2;5997.46;93804.9;2;0.000343015;0.0382191;0.906624;131.993;1200;50
100;14329.2;6394.51;94020.9;2;0.000516077;0.34762;0.906624;131.993;1200;50
100;14735.3;6799.69;94049.2;2;0.000325941;0.796294;0.906624;131.993;1200;50
100;15143.7;7207.66;94032;2;0.000390781;0.579857;0.906624;131.993;1200;50
100;15576.6;7600.73;93850.5;2;6.4448e-005;0.802977;0.906624;131.993;1200;50
100;16006.9;8001.3;94007.8;2;0.000248443;0.192857;0.906624;131.993;1200;50
100;16560.7;8420;93645.4;2;-0.000414244;0.75592;0.906624;131.993;1200;50
100;16945;8799.34;93583.6;2;-0.000426316;-0.175975;0.906624;131.993;1200;50
100;17355.6;9209.76;93574.2;2;-0.000620666;-0.436119;0.906624;131.993;1200;50
100;17902.6;9636.56;93916.3;2;0.000206596;-1.42853;0.906624;131.993;1200;50
100;18277.4;10005.4;93983.2;2;0.00046639;-0.443157;0.906624;131.993;1200;50
100;18744.6;10403.2;94228.2;2;0.000697651;0.391457;0.906624;131.993;1200;50
100;19317.6;10852.4;93872.5;2;0.000183766;1.40578;0.906624;131.993;1200;50
100;19746;11211.8;93639.3;2;-0.000196046;0.8083;0.906624;131.993;1200;50
100;20136.4;11600;93598;2;-0.000261422;0.0936284;0.906624;131.993;1200;50
100;20537.4;12000;93570.6;2;3.55522e-005;-0.424386;0.906624;131.993;1200;50
100;20937;12398.9;93594.5;2;0.000128751;-0.147076;0.906624;131.993;1200;50
100;21383.5;12809.8;93419.6;2;-0.00020275;0.305437;0.906624;131.993;1200;50
100;21832.1;13200;93198.4;2;-0.000563467;0.0148385;0.906624;131.993;1200;50
100;22281.1;13621.3;93353.6;2;-0.000449646;-0.764884;0.906624;131.993;1200;50
100;22731.2;14028.8;93544.9;2;7.99576e-006;-0.993635;0.906624;131.993;1200;50
100;23175.1;14406.6;93778;2;0.000446194;-0.472226;0.906624;131.993;1200;50
100;23576.5;14805.1;93826.5;2;0.000460101;0.34266;0.906624;131.993;1200;50
100;24019.3;15213.3;93655.1;2;8.76147e-006;0.899049;0.906624;131.993;1200;50
100;24408.5;15601.3;93624.7;2;-0.000350885;0.509373;0.906624;131.993;1200;50
100;24813.7;16004;93579.6;2;-0.000335365;-0.246952;0.906624;131.993;1200;50
100;25268.3;16423.5;93754.8;2;0.000278139;-0.81554;0.906624;131.993;1200;50
100;25720.6;16799.8;94005.8;2;0.000582234;-0.00262564;0.906624;131.993;1200;50
100;26182.7;17235;93850.5;2;0.000254203;0.929157;0.906624;131.993;1200;50
100;26745.7;17617.2;93437.1;2;-0.000313887;0.748483;0.906624;131.993;1200;50
100;27133.2;18002.3;93394;2;-0.000485923;0.00933402;0.906624;131.993;1200;50
100;27667.1;18410;93738.7;2;-0.000106559;-0.929934;0.906624;131.993;1200;50
100;28083.9;18796.4;93582.4;2;-0.000140447;-0.376588;0.906624;131.993;1200;50
